Tabla;Code;Name;Modification Date;Format;Data Type;Primary;Mandatory;Formato Logico;columnaLegacy
1872;CD_TXN_FINANCIERA;Indicador de transacción financiera, código proceso ISO Standard 8583 1987;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;TP_TERMINAL_EMV;Indicador de Tipo terminal EMV, ambiente terminal, capacidad comunicación y control operacional;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;CD_ENTRAD_PTO_SERV;Modo de entrada punto de servicio. Este campo indica la manera en el cual se ingresaron los detalles de la tarjeta en el dispositivo y las capacidades de entrada PIN de la terminal;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(3);1872
1872;CD_CAPACIDAD_TERMI;Capacidades de la terminal;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;CD_TARJ_MISMO_PAN;Identifica y dIferencia las tarjetas con el mismo PAN.;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;CD_TXN_AUTOR_LINEA;Razón de la transacción fue autorizada en línea. Los valores son definidos en el ENV1750 European standard;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;CD_RESP_EMISOR;Código de respuesta del Emisor usado en la generación del criptograma de respuesta de la autorización;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;NB_AUTENT_EMISOR;Descripcion de Datos de autenticación adicionales del Emisor o VISA o MC;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;FH_OPERACION_HORA;Hora de la operación;25/05/17 10:46:47;dd/mm/yyyy;string;Falso;Falso;DATE;1872
1872;FH_TARJETA_ALTA;Fecha de alta de la tarjeta;25/05/17 10:46:47;dd/mm/yyyy;string;Falso;Falso;DATE;1872
1872;FH_TARJETA_SITUA;Fecha de situación de la tarjeta;25/05/17 10:46:47;dd/mm/yyyy;string;Falso;Falso;DATE;1872
1872;ST_FRAUDE;Indica si el Registro es un fraude;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;CD_CLIENTE;Código del Cliente;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(8);1872
1872;CD_SUCURSAL_CTO;Código de la sucursal del contrato;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;CD_SUCURSAL_CTA;Código de la sucursal de la cuenta;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;CD_RETENCION;Código de retención;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;ST_TARJETA;Status de la tarjeta;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;CD_CHIP;Código del chip;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;TM_TIPOCARGO;Tamaño del tipo de cargo;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(20);1872
